# This file was produced by bcftools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  variants/SRR27639570.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	variants/SRR27639570.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	588775
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	416326
SN	0	number of MNPs:	0
SN	0	number of indels:	172449
SN	0	number of others:	0
SN	0	number of multiallelic sites:	1240
SN	0	number of multiallelic SNP sites:	350
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	227112	189564	1.20	227013	189313	1.20
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	233967	123270	110697	16525	0	0	16525
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	233967	123270	110697	16525	0	0	16525
AF	0	0.990000	182709	103842	78867	156814	0	0	156814
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	3.0	427	199	228	17
QUAL	0	3.1	427	205	222	21
QUAL	0	3.2	562	295	267	82
QUAL	0	3.3	441	208	233	14
QUAL	0	3.4	434	219	215	17
QUAL	0	3.5	438	218	220	8
QUAL	0	3.6	457	218	239	17
QUAL	0	3.7	575	284	291	94
QUAL	0	3.8	323	166	157	18
QUAL	0	3.9	389	207	182	17
QUAL	0	4.0	366	177	189	11
QUAL	0	4.1	362	174	188	14
QUAL	0	4.2	353	161	192	19
QUAL	0	4.3	838	374	464	82
QUAL	0	4.4	325	140	185	23
QUAL	0	4.5	326	153	173	13
QUAL	0	4.6	324	146	178	21
QUAL	0	4.7	336	166	170	29
QUAL	0	4.8	359	165	194	25
QUAL	0	4.9	380	190	190	18
QUAL	0	5.0	414	207	207	94
QUAL	0	5.1	257	138	119	21
QUAL	0	5.2	266	133	133	22
QUAL	0	5.3	312	143	169	25
QUAL	0	5.4	351	171	180	20
QUAL	0	5.5	336	173	163	37
QUAL	0	5.6	307	135	172	22
QUAL	0	5.7	454	225	229	107
QUAL	0	5.8	263	127	136	22
QUAL	0	5.9	274	147	127	18
QUAL	0	6.0	270	129	141	25
QUAL	0	6.1	291	143	148	25
QUAL	0	6.2	302	145	157	36
QUAL	0	6.3	312	143	169	27
QUAL	0	6.4	334	161	173	22
QUAL	0	6.5	326	158	168	84
QUAL	0	6.6	271	123	148	16
QUAL	0	6.7	254	121	133	25
QUAL	0	6.8	252	126	126	25
QUAL	0	6.9	273	130	143	21
QUAL	0	7.0	248	130	118	28
QUAL	0	7.1	270	141	129	29
QUAL	0	7.2	286	132	154	37
QUAL	0	7.3	318	179	139	96
QUAL	0	7.4	219	115	104	13
QUAL	0	7.5	230	105	125	20
QUAL	0	7.6	207	99	108	17
QUAL	0	7.7	240	116	124	24
QUAL	0	7.8	242	121	121	25
QUAL	0	7.9	258	114	144	32
QUAL	0	8.0	253	109	144	21
QUAL	0	8.1	530	238	292	92
QUAL	0	8.2	213	103	110	13
QUAL	0	8.3	201	108	93	14
QUAL	0	8.4	234	108	126	20
QUAL	0	8.5	224	114	110	22
QUAL	0	8.6	226	116	110	17
QUAL	0	8.7	237	131	106	27
QUAL	0	8.8	235	107	128	18
QUAL	0	8.9	355	197	158	104
QUAL	0	9.0	210	97	113	29
QUAL	0	9.1	217	106	111	14
QUAL	0	9.2	215	107	108	12
QUAL	0	9.3	181	94	87	14
QUAL	0	9.4	202	110	92	16
